弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,未知信息,弹幕信息,分词结果
1074.98300,1,25,16777215,Sun Mar  5 20:41:27 2023,0,949fc43d,1266083270916073216	,8,好多犬儒啊,好多 犬儒
418.31400,1,25,16777215,Sun Mar  5 19:20:15 2023,0,eefa285b,1266042403790723328	,8,贾江,贾江
606.68900,1,25,16777215,Sun Mar  5 17:51:20 2023,0,98885450,1265997647890701568	,8,哈哈,
627.19600,1,25,16777215,Sun Mar  5 12:11:16 2023,0,6c3aaf16,1265826489551645952	,8,升华了,升华
836.03800,1,25,16777215,Sun Mar  5 10:59:30 2023,0,6b67ec18,1265790368859820800	,8,老钱都不懂是怎么到这个视频来的？,老钱 都 不 懂 视频 ？
874.25900,1,25,16777215,Sun Mar  5 04:03:18 2023,0,f6b8f8f,1265580885168931840	,8,这个不敢苟同,不敢苟同
776.15400,1,25,16777215,Sun Mar  5 00:10:15 2023,0,18ec9c64,1265463590669222144	,8,乖重自身的幼稚病,乖重 幼稚病
1043.00200,5,25,16777215,Sat Mar  4 23:03:58 2023,0,e0530f9b,1265430228134866432	,8,什么龙傲天剧情,龙傲 天 剧情
122.96700,1,25,16777215,Sat Mar  4 22:47:04 2023,0,e0530f9b,1265421721641519872	,8,其实是高企强和它们没有任何区别（你细品,高 企强 区别 （ 细品
600.54200,1,25,16777215,Sat Mar  4 21:35:09 2023,0,885e9115,1265385525167286784	,8,其实赵立冬落网看地图的时候就有这一隐喻了、,赵 立冬 落网 看 地图 隐喻 、
1106.45200,1,25,16777215,Sat Mar  4 20:15:15 2023,0,afc7b213,1265345310641815040	,8,你猜有多少个“明白了”？,猜 “ 明白 ” ？
681.99900,1,25,16777215,Sat Mar  4 14:32:40 2023,0,73857565,1265172880422195968	,8,那时候公务员是大学分配的,公务员 大学 分配
489.31900,1,25,16777215,Fri Mar  3 23:09:17 2023,0,2316da42,1264708127514042624	,8,确实,确实
596.18400,1,25,16777215,Fri Mar  3 19:55:37 2023,0,81d31ef2,1264610655026394112	,8,好,好
13.71900,1,25,16777215,Fri Mar  3 17:02:36 2023,0,2feaa40d,1264523569086412800	,8,狂飙确实是近年最好的,狂飙 确实 近年
1046.33500,1,25,16777215,Fri Mar  3 16:50:21 2023,0,14215f5e,1264517401807329792	,8,理想,理想
1048.25800,1,25,16777215,Fri Mar  3 11:12:14 2023,0,96f6685d,1264347224331215872	,8,你这么拍就过不了审。。。,拍 不了 审 。 。 。
942.49100,1,25,16777215,Thu Mar  2 20:38:57 2023,0,f1f691b8,1263907685582501120	,8,dollar杀的人可不比刀少,dollar 杀 人 可不 比刀少
10.91400,1,25,16777215,Thu Mar  2 11:27:52 2023,0,ef281c00,1263630318204812544	,8,别尬吹，逻辑混乱，致命bug过多，就是依靠“老戏骨” 噱头 炒起来的！,别尬 吹 ， 逻辑 混乱 ， 致命 bug 过多 ， “ 老戏骨 ” 噱头 炒起来 ！
1057.76000,1,25,16777215,Thu Mar  2 00:11:35 2023,0,57575dc5,1263289930185175040	,8,这不是风凉话是现实,风凉话 现实
796.87900,1,25,16777215,Thu Mar  2 00:06:29 2023,0,ba4e184c,1263287366357908224	,8,所以，人的命运和国家的命运紧密联系,， 人 命运 国家 命运 紧密联系
942.35500,1,25,16777215,Thu Mar  2 00:06:22 2023,0,57575dc5,1263287307721915392	,8,希望不多，只有同化,希望 不 ， 同化
676.05900,1,25,16777215,Thu Mar  2 00:04:10 2023,0,ba4e184c,1263286201440288768	,8,那会毫无礼义廉耻，只想着赚钱,那会 毫无 礼义廉耻 ， 只 想着 赚钱
610.90600,1,25,16777215,Wed Mar  1 22:52:39 2023,0,9244e36b,1263250201788095232	,8,你现实遇到了？你说出来啊？搁着虚空索敌,现实 ？ 说 ？ 搁着 虚空 索敌
1012.12800,1,25,16777215,Wed Mar  1 21:25:09 2023,0,ec6b92bd,1263206161654627328	,8,美国精神病人 今天才看,美国 精神病人 才 看
348.68300,1,25,16777215,Wed Mar  1 21:12:11 2023,0,4159beb,1263199637892826112	,8,300%利润时 道德堵在面前,300% 利润 时 道德 堵 面前
275.76700,1,25,16777215,Wed Mar  1 21:10:31 2023,0,4159beb,1263198799141434112	,8,我捣我自己,捣
166.97600,1,25,16777215,Wed Mar  1 21:08:28 2023,0,4159beb,1263197768088935168	,8,高启强也是犹太昂撒是吧,高启 强 犹太 昂撒
735.30700,1,25,16777215,Wed Mar  1 20:41:17 2023,0,1014c54f,1263184084860274432	,8,取决于自身环境，环境是怎么样人就是怎么样,取决于 环境 ， 环境 人
26.45900,1,25,16777215,Wed Mar  1 18:14:26 2023,0,47a6420f,1263110171476010496	,8,还是和韩剧比较吧，文化底蕴接近,韩剧 ， 文化底蕴 接近
218.38100,1,25,16777215,Wed Mar  1 14:59:21 2023,0,2f481841,1263011987416648192	,8,有奶便是娘,有奶便是娘
997.14800,1,25,16777215,Wed Mar  1 14:57:22 2023,0,cba839fe,1263010984683932928	,8,但其实是axe和chunk了解但都不想改变这个结构，因为他们都是结构的受益者,axe chunk 都 不想 改变 结构 ， 都 结构 受益者
